Iteraciones,Ganados,Exploracion
20,0,0.7857499999999995
40,0,0.7707499999999989
60,0,0.7557499999999984
80,0,0.7407499999999978
100,0,0.7257499999999972
120,0,0.7107499999999967
140,0,0.6957499999999961
160,0,0.6807499999999955
180,0,0.665749999999995
200,0,0.6507499999999944
220,0,0.6357499999999938
240,0,0.6207499999999933
260,0,0.6057499999999927
280,0,0.5907499999999921
300,0,0.5757499999999915
320,0,0.560749999999991
340,0,0.5457499999999904
360,0,0.5307499999999898
380,0,0.5157499999999893
400,0,0.5007499999999887
420,0,0.48574999999998925
440,0,0.4707499999999898
460,0,0.45574999999999033
480,1,0.44074999999999087
500,0,0.4257499999999914
520,1,0.41074999999999195
540,2,0.3957499999999925
560,2,0.38074999999999304
580,0,0.3657499999999936
600,0,0.3507499999999941
620,3,0.33574999999999466
640,1,0.3207499999999952
660,0,0.30574999999999575
680,1,0.2907499999999963
700,3,0.27574999999999683
720,3,0.2607499999999974
740,3,0.24574999999999775
760,1,0.23074999999999773
780,4,0.21574999999999772
800,1,0.2007499999999977
820,0,0.1857499999999977
840,4,0.17074999999999768
860,4,0.15574999999999767
880,1,0.14074999999999765
900,3,0.12574999999999764
920,2,0.11074999999999763
940,1,0.09949999999999762
960,1,0.09949999999999762
980,4,0.09949999999999762
1000,1,0.09949999999999762
1020,1,0.09949999999999762
1040,1,0.09949999999999762
1060,0,0.09949999999999762
1080,4,0.09949999999999762
1100,2,0.09949999999999762
1120,2,0.09949999999999762
1140,3,0.09949999999999762
1160,0,0.09949999999999762
1180,2,0.09949999999999762
1200,1,0.09949999999999762
1220,2,0.09949999999999762
1240,4,0.09949999999999762
1260,1,0.09949999999999762
1280,2,0.09949999999999762
1300,2,0.09949999999999762
1320,1,0.09949999999999762
1340,1,0.09949999999999762
1360,2,0.09949999999999762
1380,2,0.09949999999999762
1400,4,0.09949999999999762
1420,3,0.09949999999999762
1440,2,0.09949999999999762
1460,1,0.09949999999999762
1480,2,0.09949999999999762
1500,4,0.09949999999999762
1520,3,0.09949999999999762
1540,1,0.09949999999999762
1560,2,0.09949999999999762
1580,2,0.09949999999999762
1600,3,0.09949999999999762
1620,4,0.09949999999999762
1640,2,0.09949999999999762
1660,2,0.09949999999999762
1680,2,0.09949999999999762
1700,0,0.09949999999999762
1720,3,0.09949999999999762
1740,2,0.09949999999999762
1760,2,0.09949999999999762
1780,4,0.09949999999999762
1800,4,0.09949999999999762
1820,2,0.09949999999999762
1840,4,0.09949999999999762
1860,2,0.09949999999999762
1880,2,0.09949999999999762
1900,4,0.09949999999999762
1920,2,0.09949999999999762
1940,3,0.09949999999999762
1960,1,0.09949999999999762
1980,3,0.09949999999999762
2000,1,0.09949999999999762
2020,3,0.09949999999999762
2040,2,0.09949999999999762
2060,0,0.09949999999999762
2080,2,0.09949999999999762
2100,3,0.09949999999999762
2120,2,0.09949999999999762
2140,1,0.09949999999999762
2160,3,0.09949999999999762
2180,2,0.09949999999999762
2200,0,0.09949999999999762
2220,4,0.09949999999999762
2240,1,0.09949999999999762
2260,4,0.09949999999999762
2280,1,0.09949999999999762
2300,0,0.09949999999999762
2320,4,0.09949999999999762
2340,2,0.09949999999999762
2360,1,0.09949999999999762
2380,2,0.09949999999999762
2400,2,0.09949999999999762
2420,2,0.09949999999999762
2440,2,0.09949999999999762
2460,3,0.09949999999999762
2480,4,0.09949999999999762
2500,3,0.09949999999999762
2520,1,0.09949999999999762
2540,2,0.09949999999999762
2560,1,0.09949999999999762
2580,1,0.09949999999999762
2600,0,0.09949999999999762
2620,0,0.09949999999999762
2640,0,0.09949999999999762
2660,1,0.09949999999999762
2680,3,0.09949999999999762
2700,1,0.09949999999999762
2720,2,0.09949999999999762
2740,2,0.09949999999999762
2760,4,0.09949999999999762
2780,1,0.09949999999999762
2800,0,0.09949999999999762
2820,3,0.09949999999999762
2840,3,0.09949999999999762
2860,2,0.09949999999999762
2880,1,0.09949999999999762
2900,3,0.09949999999999762
2920,1,0.09949999999999762
2940,1,0.09949999999999762
2960,1,0.09949999999999762
2980,4,0.09949999999999762
3000,3,0.09949999999999762
3020,3,0.09949999999999762
3040,1,0.09949999999999762
3060,2,0.09949999999999762
3080,1,0.09949999999999762
3100,1,0.09949999999999762
3120,2,0.09949999999999762
3140,2,0.09949999999999762
3160,3,0.09949999999999762
3180,3,0.09949999999999762
3200,4,0.09949999999999762
3220,4,0.09949999999999762
3240,1,0.09949999999999762
3260,1,0.09949999999999762
3280,4,0.09949999999999762
3300,3,0.09949999999999762
3320,3,0.09949999999999762
3340,3,0.09949999999999762
3360,3,0.09949999999999762
3380,3,0.09949999999999762
3400,3,0.09949999999999762
3420,5,0.09949999999999762
3440,0,0.09949999999999762
3460,3,0.09949999999999762
3480,1,0.09949999999999762
3500,3,0.09949999999999762
3520,3,0.09949999999999762
3540,2,0.09949999999999762
3560,1,0.09949999999999762
3580,2,0.09949999999999762
3600,3,0.09949999999999762
3620,1,0.09949999999999762
3640,3,0.09949999999999762
3660,2,0.09949999999999762
3680,2,0.09949999999999762
3700,2,0.09949999999999762
3720,2,0.09949999999999762
3740,1,0.09949999999999762
3760,2,0.09949999999999762
3780,3,0.09949999999999762
3800,1,0.09949999999999762
3820,2,0.09949999999999762
3840,3,0.09949999999999762
3860,3,0.09949999999999762
3880,1,0.09949999999999762
3900,1,0.09949999999999762
3920,3,0.09949999999999762
3940,1,0.09949999999999762
3960,4,0.09949999999999762
3980,2,0.09949999999999762
4000,3,0.09949999999999762
4020,2,0.09949999999999762
4040,3,0.09949999999999762
4060,4,0.09949999999999762
4080,3,0.09949999999999762
4100,2,0.09949999999999762
4120,5,0.09949999999999762
4140,1,0.09949999999999762
4160,2,0.09949999999999762
4180,2,0.09949999999999762
4200,0,0.09949999999999762
4220,2,0.09949999999999762
4240,2,0.09949999999999762
4260,1,0.09949999999999762
4280,3,0.09949999999999762
4300,3,0.09949999999999762
4320,2,0.09949999999999762
4340,2,0.09949999999999762
4360,0,0.09949999999999762
4380,0,0.09949999999999762
4400,1,0.09949999999999762
4420,3,0.09949999999999762
4440,2,0.09949999999999762
4460,1,0.09949999999999762
4480,3,0.09949999999999762
4500,1,0.09949999999999762
4520,2,0.09949999999999762
4540,2,0.09949999999999762
4560,2,0.09949999999999762
4580,1,0.09949999999999762
4600,2,0.09949999999999762
4620,0,0.09949999999999762
4640,1,0.09949999999999762
4660,1,0.09949999999999762
4680,2,0.09949999999999762
4700,2,0.09949999999999762
4720,1,0.09949999999999762
4740,2,0.09949999999999762
4760,1,0.09949999999999762
4780,3,0.09949999999999762
4800,2,0.09949999999999762
4820,1,0.09949999999999762
4840,1,0.09949999999999762
4860,1,0.09949999999999762
4880,2,0.09949999999999762
4900,2,0.09949999999999762
4920,2,0.09949999999999762
4940,2,0.09949999999999762
4960,3,0.09949999999999762
4980,4,0.09949999999999762
5000,2,0.09949999999999762
